,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
2020,4212,GPU,28.0,,77.0,950.0,650,AMD,,537.6,33.6
2021,4213,GPU,28.0,,77.0,950.0,825,AMD,,691.2,43.2
2022,4214,GPU,55.0,76.0,146.0,514.0,800,ATI,,512.0,
2023,4215,GPU,55.0,35.0,146.0,514.0,680,ATI,,435.2,
2024,4216,GPU,150.0,,92.0,76.0,300,ATI,,,
2025,4217,GPU,150.0,28.0,98.0,36.0,250,ATI,,,
2026,4218,GPU,110.0,,333.0,302.0,400,NVIDIA,,,
2027,4219,GPU,40.0,26.0,104.0,627.0,650,ATI,,520.0,
2028,4220,GPU,90.0,70.0,288.0,321.0,500,ATI,,,
2029,4221,GPU,28.0,,123.0,1500.0,900,AMD,,947.2,59.2
2030,4222,GPU,90.0,27.0,196.0,278.0,500,NVIDIA,,,
2031,4223,GPU,40.0,66.0,118.0,716.0,800,AMD,,768.0,
2032,4224,GPU,16.0,115.0,314.0,7200.0,1215,NVIDIA,88.26,5648.0,176.5
2033,4225,GPU,55.0,150.0,260.0,754.0,702,NVIDIA,,387.1,
2034,4226,GPU,65.0,13.0,,,400,Intel,,64.0,
2035,4227,GPU,28.0,110.0,221.0,2540.0,928,NVIDIA,,1425.0,59.39
2036,4228,GPU,32.0,65.0,227.0,1178.0,444,AMD,,142.1,
2037,4229,GPU,28.0,,125.0,1550.0,1000,AMD,,779.5,
2038,4230,GPU,28.0,28.0,123.0,1500.0,575,AMD,,588.8,36.8
2039,4231,GPU,250.0,30.0,112.0,14.0,166,Other,,,
2040,4232,GPU,40.0,25.0,67.0,370.0,600,AMD,,192.0,
2041,4233,GPU,28.0,35.0,118.0,1270.0,797,NVIDIA,,306.0,12.75
2042,4234,GPU,150.0,,98.0,36.0,240,ATI,,,
2043,4235,GPU,40.0,26.0,104.0,627.0,600,AMD,,480.0,
2044,4236,GPU,130.0,,133.0,82.0,250,NVIDIA,,,
2045,4237,GPU,90.0,35.0,125.0,177.0,480,NVIDIA,,,
2046,4238,GPU,12.0,40.0,200.0,4700.0,1200,NVIDIA,6636.0,3318.0,103.7
2047,4239,GPU,28.0,75.0,148.0,1870.0,1020,NVIDIA,,1389.0,43.4
2048,4240,GPU,14.0,295.0,495.0,12500.0,1247,AMD,25330.0,12660.0,791.6
2049,4241,GPU,150.0,,174.0,80.0,200,Other,,,
2050,4242,GPU,55.0,31.0,121.0,314.0,550,NVIDIA,,43.2,
2051,4243,GPU,90.0,110.0,196.0,278.0,500,NVIDIA,,,
2052,4244,GPU,110.0,,154.0,146.0,300,NVIDIA,,,
2053,4245,GPU,80.0,,100.0,107.0,479,ATI,,,
2054,4246,GPU,180.0,23.0,111.0,30.0,166,ATI,,,
2055,4247,GPU,150.0,37.0,215.0,110.0,325,ATI,,,
2056,4248,GPU,40.0,175.0,334.0,2154.0,800,ATI,,1792.0,358.4
2057,4249,GPU,0.0,,,,250,Other,,,
2058,4250,GPU,40.0,106.0,238.0,1170.0,783,NVIDIA,,601.3,50.11
2059,4251,GPU,130.0,67.0,297.0,160.0,540,ATI,,,
2060,4252,GPU,150.0,,81.0,36.0,250,ATI,,,
2061,4253,GPU,55.0,70.0,192.0,666.0,580,ATI,,371.2,74.24
2062,4254,GPU,40.0,150.0,255.0,1700.0,840,AMD,,1344.0,
2063,4255,GPU,28.0,100.0,212.0,2800.0,850,AMD,,2304.0,144.0
2064,4256,GPU,130.0,,92.0,76.0,450,ATI,,,
2065,4257,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1240.0,1240.0,77.5
2066,4258,GPU,80.0,,73.0,120.0,400,ATI,,,
2067,4259,GPU,28.0,225.0,398.0,5200.0,557,NVIDIA,,4825.0,150.8
2068,4260,GPU,55.0,,67.0,181.0,560,ATI,,44.8,
2069,4261,GPU,28.0,35.0,118.0,1270.0,850,NVIDIA,,326.4,13.6
2070,4262,GPU,150.0,,128.0,57.0,240,NVIDIA,,,
2071,4263,GPU,110.0,30.0,74.0,107.0,325,ATI,,,
2072,4264,GPU,40.0,43.0,144.0,727.0,540,NVIDIA,,187.5,
2073,4265,GPU,150.0,,215.0,110.0,275,ATI,,,
2074,4266,GPU,14.0,15.0,,,350,Intel,1536.0,768.0,192.0
2075,4267,GPU,28.0,225.0,118.0,1270.0,954,NVIDIA,,732.7,30.53
2076,4268,GPU,130.0,,,110.0,350,Other,,,
2077,4269,GPU,28.0,75.0,123.0,1500.0,750,AMD,,768.0,48.0
2078,4270,GPU,40.0,375.0,389.0,2640.0,880,AMD,,2703.0,
2079,4271,GPU,90.0,,81.0,112.0,300,NVIDIA,,,
2080,4272,GPU,14.0,6.0,,,200,Intel,,153.6,38.4
2081,4273,GPU,28.0,,125.0,1550.0,900,AMD,,752.6,
2082,4274,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15850.0,7926.0,495.4
2083,4275,GPU,16.0,,314.0,7200.0,1607,NVIDIA,104.0,6655.0,208.0
2084,4276,GPU,40.0,29.0,116.0,585.0,701,NVIDIA,,134.6,11.22
2085,4277,GPU,40.0,300.0,255.0,1700.0,900,AMD,,2016.0,
2086,4278,GPU,55.0,190.0,282.0,959.0,850,ATI,,1360.0,272.0
2087,4279,GPU,250.0,30.0,112.0,14.0,166,Other,,,
2088,4280,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
2089,4281,GPU,40.0,152.0,529.0,3100.0,513,NVIDIA,,722.3,361.2
2090,4282,GPU,16.0,300.0,610.0,15300.0,1328,NVIDIA,21220.0,10610.0,5304.0
2091,4283,GPU,90.0,27.0,100.0,107.0,600,ATI,,,
2092,4284,GPU,40.0,23.0,116.0,585.0,500,NVIDIA,,192.0,16.0
2093,4285,GPU,28.0,200.0,352.0,4313.0,800,AMD,,2867.0,716.8
2094,4286,GPU,80.0,44.0,131.0,330.0,600,ATI,,,
2095,4287,GPU,130.0,25.0,133.0,82.0,425,NVIDIA,,,
2096,4288,GPU,150.0,27.0,68.0,60.0,280,ATI,,,
2097,4289,GPU,14.0,15.0,,,350,Intel,844.8,422.4,105.6
2098,4290,GPU,130.0,,76.0,60.0,324,ATI,,,
2099,4291,GPU,40.0,231.0,529.0,3100.0,574,NVIDIA,,1028.0,513.9
2100,4292,GPU,28.0,75.0,148.0,1870.0,1020,NVIDIA,,1124.0,35.14
2101,4293,GPU,40.0,75.0,238.0,1170.0,720,NVIDIA,,414.7,34.56
2102,4294,GPU,40.0,25.0,79.0,292.0,810,NVIDIA,,155.5,12.96
2103,4295,GPU,40.0,25.0,59.0,292.0,650,AMD,,104.0,
