,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
1519,1519,CPU,90.0,110.0,199.0,233.0,2600,AMD
1524,1524,CPU,14.0,65.0,192.0,4800.0,3100,AMD
1526,1526,CPU,14.0,50.0,213.0,4800.0,2500,AMD
1527,1527,CPU,90.0,135.0,135.0,155.0,3600,Intel
1528,1528,CPU,32.0,3.0,65.0,140.0,1800,Intel
1530,1530,CPU,22.0,54.0,177.0,1400.0,3200,Intel
1532,1532,CPU,32.0,25.0,246.0,1178.0,2100,AMD
1533,1533,CPU,32.0,35.0,81.0,382.0,2667,Intel
1534,1534,CPU,130.0,35.0,131.0,55.0,2200,Intel
1535,1535,CPU,32.0,35.0,81.0,382.0,2267,Intel
1536,1536,CPU,12.0,180.0,213.0,19200.0,3500,AMD
1538,1538,CPU,90.0,84.0,109.0,125.0,3200,Intel
1540,1540,CPU,45.0,7.0,26.0,47.0,1200,Intel
1546,1546,CPU,32.0,130.0,239.0,1170.0,3333,Intel
1548,1548,CPU,14.0,65.0,210.0,4950.0,3500,AMD
1549,1549,CPU,22.0,54.0,177.0,1400.0,3200,Intel
1550,1550,CPU,45.0,1.0,26.0,47.0,800,Intel
1551,1551,CPU,45.0,65.0,82.0,228.0,2500,Intel
1552,1552,CPU,90.0,89.0,220.0,154.0,2400,AMD
1553,1553,CPU,90.0,67.0,156.0,154.0,2000,AMD
1554,1554,CPU,28.0,95.0,246.0,1178.0,4000,AMD
1555,1555,CPU,32.0,35.0,246.0,1178.0,2500,AMD
1556,1556,CPU,65.0,65.0,118.0,221.0,1800,AMD
1559,1559,CPU,45.0,82.0,296.0,774.0,2533,Intel
1560,1560,CPU,130.0,89.0,131.0,55.0,3400,Intel
1561,1561,CPU,130.0,73.0,146.0,55.0,2600,Intel
1562,1562,CPU,90.0,62.0,183.0,154.0,2200,AMD
1563,1563,CPU,90.0,84.0,109.0,169.0,3000,Intel
1564,1564,CPU,65.0,65.0,76.0,105.0,1866,Intel
1566,1566,CPU,130.0,55.0,193.0,106.0,2000,AMD
1567,1567,CPU,22.0,54.0,177.0,1400.0,3600,Intel
1568,1568,CPU,22.0,84.0,177.0,1400.0,3600,Intel
1570,1570,CPU,130.0,62.0,101.0,63.0,1750,AMD
1572,1572,CPU,65.0,31.0,90.0,151.0,2333,Intel
1573,1573,CPU,65.0,5.0,90.0,151.0,1200,Intel
1574,1574,CPU,130.0,89.0,144.0,69.0,2200,AMD
1575,1575,CPU,14.0,65.0,210.0,4950.0,3600,AMD
1576,1576,CPU,12.0,15.0,210.0,4940.0,2600,AMD
1577,1577,CPU,45.0,25.0,117.0,410.0,1800,AMD
