,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
40,GPU,14.0,15.0,210.0,4940.0,300,AMD,2253.0,1126.0,70.4
42,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
43,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,68.32,4372.0,136.6
44,GPU,14.0,20.0,74.0,1800.0,1152,NVIDIA,16.55,1059.0,33.1
46,GPU,12.0,18.0,200.0,4700.0,735,NVIDIA,4785.0,2392.0,74.76
48,GPU,14.0,40.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
49,GPU,28.0,250.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
50,GPU,14.0,15.0,210.0,4940.0,300,AMD,3942.0,1971.0,123.2
51,GPU,14.0,250.0,232.0,5700.0,1243,AMD,5728.0,5728.0,358.0
52,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1211.0,1211.0,75.71
53,GPU,16.0,150.0,314.0,7200.0,1290,NVIDIA,117.4,7516.0,234.9
54,GPU,14.0,55.0,123.0,3000.0,1000,AMD,1887.0,1887.0,117.9
55,GPU,12.0,115.0,445.0,10800.0,960,NVIDIA,9216.0,4608.0,144.0
56,GPU,14.0,95.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
